F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,O2,O1,AF3
56,41,38,12,36,18,-84,36,26,15,34,32,30,12
58,47,33,7,29,6,-86,26,17,12,24,21,21,11
50,53,55,21,33,22,-74,47,8,16,39,48,34,18
50,53,55,21,33,22,-74,47,8,16,39,48,34,18
50,62,73,59,54,62,-44,88,27,43,85,90,62,38
42,63,67,66,49,66,-20,84,31,42,94,91,60,27
25,39,53,38,23,50,-17,54,5,10,65,60,44,-1
31,32,59,38,22,54,-13,53,-4,3,56,41,41,-6
43,57,58,56,33,58,-1,62,12,27,61,29,40,5
36,49,41,47,23,51,5,56,18,29,58,24,32,5
24,32,43,29,14,50,9,59,2,13,62,49,43,-11
24,32,43,29,14,50,9,59,2,13,62,49,43,-11
19,39,55,38,24,54,20,71,-1,12,74,65,55,-22
22,33,43,39,33,40,9,64,2,9,68,45,35,-17
22,28,25,12,24,15,-6,38,-2,-4,41,28,26,-10
29,34,34,1,30,19,5,25,12,1,28,32,39,-1
42,56,50,21,54,40,6,46,36,29,47,27,43,12
32,60,59,31,50,41,-17,64,27,29,67,23,43,7
9,25,68,10,31,16,-32,62,1,-4,66,50,56,-10
9,25,68,10,31,16,-32,62,1,-4,66,50,56,-10
3,2,79,-17,26,-3,-35,62,5,-25,49,67,70,-13
23,7,94,-10,33,7,-26,59,28,-20,32,47,75,0
51,40,88,17,44,27,-7,48,32,8,31,26,76,16
60,77,65,36,55,46,2,53,25,31,51,30,67,27
53,88,60,51,61,60,12,67,35,38,76,51,60,31
53,88,60,51,61,60,12,67,35,38,76,51,60,31
54,92,63,65,51,65,27,64,44,40,90,65,67,30
61,76,57,66,41,61,25,65,43,39,91,55,68,34
44,50,46,39,41,45,5,59,43,26,73,33,54,21
21,32,43,-1,38,17,-14,34,34,-2,44,23,45,-5
22,24,52,-7,30,10,-20,38,25,-12,39,27,52,-6
25,46,62,18,28,35,-14,63,27,5,62,38,62,8
25,55,64,35,33,57,-10,66,33,18,90,51,66,13
25,55,64,35,33,57,-10,66,33,18,90,51,66,13
41,58,67,45,32,63,-7,74,46,26,96,58,65,19
55,82,69,58,31,63,10,85,50,37,88,49,68,31
48,80,66,65,40,69,27,73,42,35,91,37,74,34
32,67,61,59,32,65,27,58,37,24,89,36,68,19
18,49,57,39,10,39,26,42,29,7,67,27,63,-2
18,43,64,22,8,29,41,33,27,0,54,16,81,-5
31,67,82,33,30,48,60,51,41,23,64,23,88,17
31,67,82,33,30,48,60,51,41,23,64,23,88,17
39,61,92,37,37,48,70,56,49,27,70,32,69,29
30,39,86,4,26,21,75,41,42,3,58,26,64,14
28,41,85,2,30,23,84,49,45,6,58,26,60,13
37,56,90,44,46,50,80,64,54,29,76,40,37,30
41,65,89,56,54,62,55,62,56,46,90,48,29,36
39,55,87,41,60,65,35,62,67,51,96,41,20,38
35,45,88,43,57,67,30,56,63,49,88,30,-4,43
35,45,88,43,57,67,30,56,63,49,88,30,-4,43
21,17,83,31,40,56,29,35,42,33,67,18,-21,28
-2,-21,84,2,27,45,27,21,30,15,53,3,-28,3
-5,-19,87,8,18,55,24,23,33,10,57,-6,-30,-4
5,-19,75,32,13,61,31,29,37,17,62,-2,-39,6
5,-26,66,29,13,55,50,27,32,31,57,9,-57,14
10,-17,77,23,11,53,77,27,33,31,59,13,-56,7
27,-6,90,27,5,53,95,29,35,25,63,13,-31,7
27,-6,90,27,5,53,95,29,35,25,63,13,-31,7
31,14,84,28,0,49,91,31,32,37,57,17,-23,24
29,19,80,26,3,50,92,32,31,46,50,22,-33,33
29,16,84,31,7,56,112,36,43,42,62,31,-28,26
26,21,88,36,12,61,99,37,50,43,79,42,-18,25
36,20,90,40,20,68,61,32,51,46,74,37,-26,33
36,20,90,40,20,68,61,32,51,46,74,37,-26,33
49,22,85,49,25,71,45,28,59,50,61,22,-28,34
44,11,77,50,18,65,44,19,57,47,63,18,-14,34
33,8,63,33,12,57,42,2,49,42,66,15,-10,29
32,18,56,21,15,54,47,-6,41,41,55,15,-18,24
37,14,71,34,11,54,59,11,43,39,61,29,-14,29
34,12,87,37,-3,54,71,26,40,36,81,32,-6,28
34,12,87,37,-3,54,71,26,40,36,81,32,-6,28
27,2,92,24,-4,59,86,28,38,26,85,28,2,22
30,-1,92,36,12,66,103,34,48,30,86,34,15,26
40,11,92,50,19,64,117,30,56,45,86,32,15,33
47,7,90,39,23,61,129,8,65,54,71,23,3,44
43,9,88,25,30,60,142,7,74,54,54,23,2,49
35,3,89,26,28,54,155,31,75,45,57,32,5,39
35,3,89,26,28,54,155,31,75,45,57,32,5,39
31,-7,88,38,25,56,154,37,63,34,76,36,4,27
26,0,84,41,19,62,147,27,57,33,79,29,7,26
29,1,85,37,8,62,152,27,64,40,76,27,17,33
43,11,93,53,11,72,156,35,67,43,86,41,33,42
43,18,86,65,24,81,134,33,61,36,92,49,38,38
43,18,86,65,24,81,134,33,61,36,92,49,38,38
15,-3,63,38,-4,63,84,13,43,15,72,29,11,10
-1,-13,57,15,-36,42,51,-6,33,11,51,2,-6,-6
