F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,O2,O1,AF3
32,26,42,66,6,62,36,16,59,72,6,36,27,42
22,18,47,46,-1,41,25,9,37,65,-3,30,36,27
5,10,40,34,-6,29,15,1,25,49,-3,36,36,14
0,19,28,39,-9,35,13,12,30,52,5,35,30,19
0,19,28,39,-9,35,13,12,30,52,5,35,30,19
8,17,22,41,-3,37,23,27,31,60,19,29,27,30
19,1,15,40,6,34,28,31,34,64,33,36,32,33
20,10,6,41,4,34,29,23,39,67,30,38,38,32
21,16,-4,36,3,20,30,6,39,54,12,25,35,35
23,12,-17,14,6,-4,18,-5,31,39,-4,22,29,35
15,2,-28,-2,1,-11,5,-6,29,38,-11,30,31,29
3,-9,-22,8,-3,-3,10,-1,43,35,-21,31,35,23
3,-9,-22,8,-3,-3,10,-1,43,35,-21,31,35,23
5,4,-18,21,-1,6,25,-3,48,35,-26,22,36,21
24,18,-23,32,7,22,32,-1,42,44,-10,23,40,28
31,28,-13,53,16,51,30,16,52,48,16,48,55,34
10,18,-3,65,15,55,29,32,55,45,29,55,62,21
-2,-2,-16,59,7,46,34,34,38,38,37,39,53,9
13,11,-34,56,7,45,24,31,27,35,37,38,56,13
13,11,-34,56,7,45,24,31,27,35,37,38,56,13
21,9,-38,49,8,42,4,23,34,30,20,45,59,18
3,-4,-29,28,2,29,9,6,33,20,0,35,43,12
-9,-5,-36,18,-4,13,32,1,27,11,-6,26,37,2
3,-1,-55,23,3,12,31,17,33,14,0,31,47,8
22,22,-56,31,11,27,19,22,37,35,-8,34,49,26
35,30,-41,37,15,35,25,11,39,47,-19,25,50,38
35,30,-41,37,15,35,25,11,39,47,-19,25,50,38
32,17,-43,34,17,25,40,0,35,34,-24,4,54,26
14,6,-60,25,9,16,26,-6,21,14,-28,-3,49,7
14,6,-53,35,4,29,4,9,16,22,-13,20,53,12
28,26,-35,53,12,46,11,31,33,53,19,37,64,28
26,24,-42,51,22,45,18,33,42,50,24,32,58,31
18,15,-61,49,26,34,5,25,30,37,1,31,49,24
18,15,-61,49,26,34,5,25,30,37,1,31,49,24
19,26,-62,52,20,35,1,29,28,44,-2,34,60,26
14,23,-41,42,16,29,14,36,37,41,9,33,79,26
13,24,-34,27,20,16,9,35,27,31,-1,42,93,22
31,30,-40,32,30,20,-1,34,24,36,-8,53,92,29
37,27,-45,35,35,21,-6,32,43,42,1,53,73,33
26,22,-48,16,41,-2,-9,24,55,27,-13,45,66,23
31,14,-35,13,52,-8,7,17,59,20,-30,38,85,18
31,14,-35,13,52,-8,7,17,59,20,-30,38,85,18
35,26,-24,27,54,11,23,24,59,35,-17,39,100,26
31,30,-35,33,58,17,29,29,60,40,-1,46,93,33
32,25,-45,35,62,18,34,27,69,33,-2,56,89,33
36,37,-35,39,58,22,34,32,72,28,-4,59,101,31
36,31,-41,37,54,10,25,34,66,24,-12,47,102,31
26,25,-68,27,52,-1,17,11,57,21,-31,28,77,20
21,28,-71,28,38,11,21,-8,42,21,-38,23,59,2
21,28,-71,28,38,11,21,-8,42,21,-38,23,59,2
26,27,-58,41,28,26,7,16,35,27,-24,40,71,7
35,42,-59,52,42,33,-15,52,44,38,-5,59,92,25
30,43,-56,54,51,43,-8,48,47,42,5,61,93,25
26,45,-37,63,48,60,12,37,43,58,7,52,93,28
42,63,-35,87,72,89,11,55,57,109,6,60,98,60
67,72,-57,105,115,128,3,53,81,172,3,63,88,106
67,72,-57,105,115,128,3,53,81,172,3,63,88,106
77,81,-64,119,139,170,1,23,89,238,-7,36,66,153
87,100,-60,149,148,215,3,16,96,307,-6,18,49,203
108,137,-66,188,169,266,9,38,113,374,13,34,58,245
123,164,-50,225,184,310,11,77,126,428,51,65,96,279
131,169,-24,246,177,331,3,108,135,449,83,88,122,299
136,176,-27,239,155,330,-3,95,119,446,73,95,121,296
130,163,-27,220,147,314,12,58,100,439,47,90,113,285
123,150,-29,213,154,291,33,41,110,430,39,69,95,277
123,150,-29,213,154,291,33,41,110,430,39,69,95,277
118,158,-57,205,157,277,24,25,117,417,18,35,66,273
123,160,-65,198,155,288,2,16,101,414,5,26,55,277
117,157,-51,189,149,271,-2,21,90,406,23,34,63,262
101,133,-55,160,152,221,9,23,94,365,26,31,68,226
91,119,-48,151,152,209,13,42,97,333,31,40,84,211
89,130,-25,159,127,203,9,65,93,313,51,66,104,198
86,115,-27,134,96,162,-2,51,87,261,32,63,83,164
82,109,-41,107,92,138,-10,31,82,219,-6,45,61,146
82,109,-41,107,92,138,-10,31,82,219,-6,45,61,146
84,115,-35,116,94,143,4,39,83,210,4,54,82,145
78,106,-29,109,68,123,19,39,83,183,11,68,91,129
66,94,-37,80,53,86,7,15,89,147,-18,46,74,112
63,82,-32,87,76,73,4,15,104,135,-16,31,80,107
63,84,-16,92,85,70,26,46,105,116,9,60,102,86
57,82,-8,72,59,57,33,73,92,82,14,95,108,66
57,82,-8,72,59,57,33,73,92,82,14,95,108,66
46,70,-2,54,37,41,21,72,89,65,18,87,105,61
37,60,-5,42,31,22,13,59,83,49,28,63,101,41
26,31,-22,23,30,4,14,67,66,12,22,55,83,11
5,12,-33,-1,30,-15,26,65,59,-15,0,42,64,-5
-3,6,-33,-12,28,-23,33,36,68,-17,-9,21,51,-4
14,15,-29,8,35,-14,21,29,67,-13,0,24,55,5
14,15,-29,8,35,-14,21,29,67,-13,0,24,55,5
29,49,-18,28,44,-3,10,57,59,-8,13,52,68,19
32,57,-5,36,46,10,19,85,62,3,30,68,67,28
33,56,0,53,47,29,30,101,63,15,52,74,59,30
32,56,5,63,47,33,31,106,54,11,64,86,53,31
30,38,9,48,27,14,23,93,40,-5,51,91,45,17
27,14,2,20,2,-17,15,73,15,-22,19,74,29,-4
27,14,2,20,2,-17,15,73,15,-22,19,74,29,-4
24,-6,-2,1,-10,-32,25,52,2,-35,-7,58,8,-4
16,-7,2,-7,-27,-38,36,38,1,-34,-14,59,-3,-5
-2,-21,1,-22,-45,-56,26,45,-15,-41,-10,56,-5,-32
-4,-47,5,-23,-26,-64,11,68,-21,-49,8,66,-2,-41
21,-23,15,-10,13,-51,23,84,6,-39,24,87,0,-12
37,-9,16,-11,29,-48,38,88,31,-29,21,92,0,5
37,-9,16,-11,29,-48,38,88,31,-29,21,92,0,5
33,-22,9,-17,27,-60,32,92,30,-30,17,88,-1,-2
34,-24,12,-8,36,-60,33,94,33,-31,32,90,4,0
30,-32,23,-6,42,-48,38,81,38,-35,34,81,1,4
20,-33,14,-15,30,-39,30,52,25,-33,1,52,-17,-3
28,-24,4,-2,33,-32,39,40,23,-20,1,39,-19,-1
28,-24,4,-2,33,-32,39,40,23,-20,1,39,-19,-1
38,-13,15,19,55,-18,63,56,35,-8,39,59,-4,10
30,-6,24,29,49,0,59,75,23,-6,47,74,3,2
28,-12,24,32,27,4,41,84,3,-5,40,73,-2,-5
38,-10,27,29,32,-4,45,83,14,3,51,79,6,9
50,-7,31,30,54,-1,58,71,36,15,50,88,20,29
59,2,27,35,54,-2,60,69,41,20,42,79,13,33
52,6,20,21,59,-20,62,74,42,8,46,65,-2,24
52,6,20,21,59,-20,62,74,42,8,46,65,-2,24
31,-22,8,4,86,-31,69,54,41,-13,34,53,-8,11
18,-30,-2,4,83,-29,67,34,29,-18,19,46,-5,-4
25,-21,-3,8,62,-28,58,48,26,-7,25,43,-4,0
43,-25,0,11,61,-23,58,55,30,-1,32,37,-7,19
51,-17,12,18,65,-11,65,53,22,-1,39,38,-2,28
57,4,27,37,66,7,68,79,29,9,69,70,17,34
63,25,31,58,73,29,66,106,36,32,96,104,38,37
63,25,31,58,73,29,66,106,36,32,96,104,38,37
48,17,23,66,70,33,51,99,14,33,94,106,41,26
33,-3,19,49,60,10,42,88,-3,12,82,96,32,18
36,6,19,29,53,-5,53,89,1,1,75,92,36,16
50,9,25,33,33,-9,57,88,2,-4,68,92,45,13
59,10,30,36,23,-22,51,84,-3,-15,61,84,46,18
58,6,22,13,30,-37,56,79,-4,-30,56,77,49,18
58,6,22,13,30,-37,56,79,-4,-30,56,77,49,18
50,-6,6,6,31,-33,63,77,-4,-35,59,90,48,9
48,5,-3,25,38,-21,59,76,5,-11,62,95,38,7
57,7,1,25,60,-18,64,64,19,-3,55,74,28,13
58,2,-5,12,66,-22,64,53,22,-25,46,52,9,13
54,3,-21,22,58,-24,56,57,20,-31,54,53,-1,17
58,4,-17,32,70,-16,73,63,33,-12,61,63,12,30
58,4,-17,32,70,-16,73,63,33,-12,61,63,12,30
63,13,-3,20,90,-10,95,55,42,-8,50,60,22,37
61,8,4,20,97,-7,97,57,45,-10,51,59,14,41
62,4,-2,33,89,-2,101,64,49,-4,63,60,11,40
56,1,-4,22,79,-11,116,46,42,-7,51,39,1,24
39,-18,3,7,79,-18,130,28,33,-12,36,27,-10,19
38,-7,8,18,85,-7,135,41,44,1,49,43,-2,36
38,-7,8,18,85,-7,135,41,44,1,49,43,-2,36
51,12,3,35,91,7,128,59,64,19,64,46,-1,50
57,18,-4,33,89,-1,116,58,61,25,57,36,-9,44
49,19,0,35,78,-4,123,62,46,18,55,46,-4,33
50,4,1,42,74,4,134,68,51,5,64,58,-2,38
57,3,-3,35,78,2,127,61,59,6,59,54,-3,44
61,14,-4,29,73,-6,116,58,52,9,55,57,1,42
61,14,-4,29,73,-6,116,58,52,9,55,57,1,42
57,19,-1,37,64,0,121,64,47,9,70,65,4,42
42,24,-2,38,61,7,126,63,41,9,77,56,4,39
31,-1,-12,18,44,-10,107,56,17,-6,63,38,7,18
23,-16,-15,-4,24,-30,94,51,1,-16,53,28,14,7
27,-5,-3,1,24,-23,111,56,18,-8,59,35,24,23
27,-5,-3,1,24,-23,111,56,18,-8,59,35,24,23
41,11,5,18,30,-17,128,63,29,2,65,46,30,32
49,22,2,13,43,-31,124,46,22,1,51,44,28,28
54,15,-1,4,54,-32,116,29,26,-1,34,43,26,31
59,24,-1,11,58,-15,113,46,31,8,42,57,34,43
66,35,4,11,63,-17,117,63,35,18,51,65,37,56
72,41,5,13,67,-23,125,55,49,17,46,57,31,61
80,53,-2,31,72,-3,123,57,59,21,52,55,31,63
80,53,-2,31,72,-3,123,57,59,21,52,55,31,63
81,49,5,44,89,14,123,68,63,32,70,49,37,69
67,50,11,33,95,4,128,60,68,28,59,30,31,69
57,43,-7,29,76,-3,127,50,60,18,32,23,25,52
59,24,-11,36,64,6,123,56,42,17,40,34,25,35
48,30,-3,34,64,5,112,52,34,10,52,26,15,30
36,22,-10,33,63,-2,102,35,34,-3,44,9,4,33
36,22,-10,33,63,-2,102,35,34,-3,44,9,4,33
35,14,-19,29,57,-2,105,27,27,0,39,7,2,33
36,28,-15,24,55,-2,111,29,22,-1,41,10,9,31
38,35,-7,32,61,2,120,33,35,-3,36,7,21,40
33,30,-3,25,65,-5,119,29,44,4,22,1,24,40
32,22,-1,3,64,-22,105,19,35,-4,20,3,29,36
50,43,4,20,62,-15,107,44,45,1,43,24,45,47
64,67,11,48,63,7,119,75,62,27,64,49,46,63
64,67,11,48,63,7,119,75,62,27,64,49,46,63
54,52,8,39,68,8,108,53,45,28,58,39,27,63
46,42,-12,22,55,-7,89,23,24,12,42,13,25,52
55,43,-20,30,40,-1,93,40,34,17,41,20,32,54
61,52,-10,43,50,15,107,59,40,31,50,33,34,60
52,58,-10,43,52,11,106,48,31,36,54,33,35,52
52,58,-10,43,52,11,106,48,31,36,54,33,35,52
35,34,-12,28,32,-2,102,34,33,20,45,30,32,38
26,22,-13,5,29,-12,103,27,32,4,34,26,30,28
30,25,-19,1,43,-19,112,27,27,7,37,26,32,30
28,27,-16,3,38,-26,115,30,26,10,32,27,29,28
23,25,-13,-4,24,-28,104,25,23,0,21,26,29,15
26,11,-20,-4,31,-26,93,25,25,-10,32,26,33,11
26,11,-20,-4,31,-26,93,25,25,-10,32,26,33,11
21,12,-20,-2,36,-31,92,24,24,-10,33,25,26,18
18,24,-9,-1,40,-31,103,22,25,-2,25,21,22,25
30,41,-8,5,54,-18,111,46,45,9,42,31,42,32
38,48,-4,4,59,-10,103,59,53,7,53,40,62,36
31,24,3,-2,51,-15,97,35,37,-8,35,28,51,29
24,33,-5,21,51,1,99,38,36,5,46,30,38,29
24,33,-5,21,51,1,99,38,36,5,46,30,38,29
44,77,-6,66,67,44,113,90,59,41,98,61,55,53
67,84,1,70,75,58,126,97,68,54,110,68,62,75
55,54,-2,31,65,26,116,41,55,38,61,21,36,64
25,21,-3,13,57,1,93,12,48,22,26,-16,27,40
23,35,0,29,61,12,87,29,55,31,41,9,51,38
23,35,0,29,61,12,87,29,55,31,41,9,51,38
47,63,7,37,69,31,109,58,63,43,67,52,67,54
58,62,10,37,63,31,122,81,65,36,74,70,67,59
42,50,3,25,53,17,107,72,63,28,62,55,66,44
26,27,-7,4,57,1,86,43,62,16,53,29,55,29
28,26,-16,6,58,-2,70,38,60,10,53,25,38,28
30,39,-28,18,44,3,64,40,59,21,44,23,31,34
30,39,-28,18,44,3,64,40,59,21,44,23,31,34
33,41,-27,8,41,-2,65,21,57,25,26,2,27,37
41,50,-16,-5,43,-11,57,15,58,24,21,4,36,43
39,39,-9,3,39,0,50,43,64,36,34,24,57,52
41,38,-5,17,39,18,59,64,63,45,48,30,65,54
56,63,-1,24,40,20,66,59,64,45,49,46,66,59
58,64,2,26,44,13,54,50,69,47,44,63,64,64
58,64,2,26,44,13,54,50,69,47,44,63,64,64
39,41,-7,9,44,10,4,46,60,38,29,41,49,45
23,21,-5,0,37,15,-28,51,54,24,29,21,42,29
27,28,15,22,42,25,93,60,72,30,46,43,51,41
46,51,16,45,62,34,75,64,79,51,61,60,41,49
59,52,12,45,59,37,-28,72,69,61,70,64,24,48
59,52,12,45,59,37,-28,72,69,61,70,64,24,48
48,42,32,35,41,31,649,91,68,48,68,74,28,48
32,19,51,32,55,30,1670,90,77,39,65,74,30,53
27,6,50,30,70,37,1664,70,88,61,59,61,9,59
35,15,59,32,57,41,1031,56,84,69,39,49,-2,64
51,8,67,33,46,32,881,58,74,55,33,46,-1,66
50,5,52,31,46,29,915,73,72,59,52,55,-11,63
50,5,52,31,46,29,915,73,72,59,52,55,-11,63
30,8,49,35,40,45,750,78,70,74,63,65,-22,62
28,1,62,38,43,45,691,63,66,74,58,60,-23,61
47,2,60,29,59,26,700,51,74,69,49,48,-16,63
61,3,61,26,57,22,681,54,91,60,38,50,-9,63
55,10,81,46,51,45,681,62,89,64,47,60,3,58
36,-2,90,50,58,53,659,64,79,72,60,58,16,55
31,-7,86,34,61,44,630,64,86,71,50,56,17,65
52,28,77,36,56,42,616,76,83,83,50,74,9,77
68,35,72,54,58,38,610,86,74,86,62,81,0,74
68,35,72,54,58,38,610,86,74,86,62,81,0,74
61,20,76,58,56,34,593,74,82,72,63,68,2,72
43,11,75,45,45,34,573,63,86,63,56,63,3,65
28,-3,62,38,42,37,567,61,70,53,49,63,-1,51
35,-2,55,37,53,41,566,55,71,42,44,57,-4,52
59,7,62,38,62,42,561,57,91,51,52,61,-5,68
56,15,61,40,62,37,555,68,83,65,54,70,-3,64
56,15,61,40,62,37,555,68,83,65,54,70,-3,64
29,-3,58,26,46,24,554,55,60,48,32,53,-7,38
23,-30,60,5,39,9,548,32,56,23,11,29,-11,32
33,-17,58,6,44,5,527,35,59,27,10,29,-5,39
44,6,59,24,41,21,514,54,61,43,24,39,2,45
51,10,61,29,38,29,521,58,62,44,31,37,0,44
38,-6,63,25,56,24,539,55,62,40,31,33,1,41
28,-18,68,33,66,33,532,61,68,47,36,39,14,47
28,-18,68,33,66,33,532,61,68,47,36,39,14,47
47,1,78,33,55,38,509,58,74,59,32,40,25,57
61,12,79,30,57,33,511,46,70,54,28,33,28,59
42,7,83,35,58,31,520,44,59,37,37,35,28,43
18,-2,87,23,50,23,510,42,56,26,41,36,31,22
18,-20,74,9,58,16,492,35,59,19,30,24,27,29
18,-20,74,9,58,16,492,35,59,19,30,24,27,29
26,-6,60,17,65,25,473,24,62,28,20,13,18,46
27,18,64,31,58,33,471,29,61,41,25,16,17,47
27,19,68,28,56,29,481,53,60,38,45,29,24,43
31,26,63,26,63,30,477,55,61,35,53,33,29,53
34,22,82,32,64,39,472,41,70,42,52,32,33,58
37,17,91,30,60,36,470,43,72,39,49,27,29,53
37,17,91,30,60,36,470,43,72,39,49,27,29,53
49,17,72,28,60,31,451,44,63,36,39,21,11,56
59,25,70,31,66,30,437,29,68,48,37,23,-1,67
58,39,88,29,65,35,444,37,82,57,50,27,11,67
53,32,92,32,63,49,450,59,80,52,70,31,23,64
53,43,85,47,74,55,444,61,76,63,78,35,22,72
73,68,92,60,84,56,438,56,91,85,73,34,22,93
73,68,92,60,84,56,438,56,91,85,73,34,22,93
87,68,103,56,80,58,431,59,101,83,66,38,31,93
58,40,96,38,62,45,414,60,83,58,65,45,37,59
25,-4,77,20,46,24,401,47,66,34,62,38,29,32
20,5,71,19,45,24,396,26,62,31,50,25,23,36
35,39,87,27,56,36,401,30,64,43,56,31,30,52
35,39,87,27,56,36,401,30,64,43,56,31,30,52
52,35,93,40,63,36,408,42,72,47,69,39,27,58
51,26,81,49,62,45,400,18,83,43,63,33,18,54
40,16,82,43,69,54,398,-20,94,43,61,29,21,58
41,17,90,31,69,42,401,-41,89,45,65,30,30,61
43,25,84,21,48,22,377,-56,69,30,53,27,25,51
35,25,85,18,42,22,350,-65,58,26,46,30,20,46
35,25,85,18,42,22,350,-65,58,26,46,30,20,46
32,33,86,26,45,32,351,-64,61,38,58,35,31,46
33,18,75,33,35,32,349,-65,62,29,63,24,35,35
24,4,69,26,35,27,331,-69,53,24,55,13,25,28
27,25,77,16,46,24,327,-64,55,38,56,22,30,44
45,43,84,22,47,27,336,-59,70,43,63,38,43,55
44,40,76,31,33,34,329,-61,66,36,61,37,44,37
44,40,76,31,33,34,329,-61,66,36,61,37,44,37
24,17,66,18,22,25,311,-57,49,25,60,32,43,22
23,22,76,4,41,12,311,-39,63,24,62,43,55,38
49,55,91,21,81,27,317,-37,87,45,64,57,67,66
67,64,94,45,87,47,307,-45,83,55,67,54,66,73
59,57,84,38,52,37,292,-42,64,43,64,35,64,55
59,57,84,38,52,37,292,-42,64,43,64,35,64,55
45,39,79,27,39,24,286,-40,61,39,56,26,59,47
44,34,82,31,54,27,285,-47,72,40,49,29,59,54
55,55,87,26,50,21,276,-41,68,32,51,24,66,59
66,67,85,31,40,28,263,-15,64,39,70,28,66,61
59,64,84,48,46,51,263,3,70,45,93,44,63,58
33,41,92,44,51,44,278,3,74,28,97,41,64,42
33,41,92,44,51,44,278,3,74,28,97,41,64,42
25,33,93,41,45,29,279,1,71,21,90,34,65,38
48,53,91,49,55,42,274,4,78,38,91,43,68,55
64,54,96,45,70,52,279,7,89,45,93,50,77,67
49,45,98,26,63,39,276,12,83,36,85,46,83,64
28,33,99,25,58,31,271,20,75,22,76,43,82,49
31,37,98,47,63,37,266,25,68,24,85,53,86,38
46,68,92,55,52,44,248,37,65,37,97,66,95,54
46,68,92,55,52,44,248,37,65,37,97,66,95,54
48,66,94,41,37,40,226,35,64,33,84,61,91,66
33,50,96,29,43,26,225,17,58,27,68,48,72,46
27,46,89,31,57,25,226,23,60,30,79,56,63,44
42,49,87,39,60,35,219,36,70,30,94,63,65,64
51,61,79,34,52,24,206,26,65,29,81,51,64,59
40,49,70,16,39,4,196,22,43,18,67,50,58,37
40,49,70,16,39,4,196,22,43,18,67,50,58,37
25,34,77,7,35,7,195,27,39,2,67,51,68,25
26,40,77,23,55,27,194,23,53,12,65,36,79,30
35,44,67,37,70,37,190,27,67,30,63,30,69,43
23,42,66,21,50,22,179,27,58,15,62,30,65,30
2,23,70,1,28,3,163,10,32,-12,60,32,74,3
2,23,70,1,28,3,163,10,32,-12,60,32,74,3
-4,11,73,-4,23,-4,156,11,23,-8,56,46,84,6
2,17,83,2,30,1,170,31,34,11,56,55,91,24
4,19,92,17,51,16,182,30,39,14,52,42,91,34
13,37,84,29,58,32,166,20,35,20,59,27,82,45
25,47,75,34,41,39,155,26,33,24,84,33,81,48
25,47,75,30,27,28,164,36,26,13,94,49,88,31
25,47,75,30,27,28,164,36,26,13,94,49,88,31
22,51,87,23,30,19,175,41,20,11,84,52,87,24
27,56,94,31,35,27,176,41,26,26,83,50,89,41
28,69,89,46,43,36,181,32,27,35,92,51,93,45
23,55,92,42,56,36,182,31,26,28,96,52,90,41
24,31,95,24,56,29,162,43,30,18,91,47,93,44
25,32,83,19,43,24,152,33,24,17,71,31,88,39
25,32,83,19,43,24,152,33,24,17,71,31,88,39
24,34,69,27,35,25,158,3,11,11,56,7,67,29
25,46,63,28,28,33,153,-8,5,11,54,-5,57,33
33,60,68,30,32,45,149,9,20,35,65,12,75,53
40,65,79,43,51,53,154,33,37,53,84,33,95,64
34,63,85,48,58,48,154,34,19,41,93,37,96,61
37,58,88,50,52,49,152,27,10,35,87,44,93,55
49,82,85,58,54,59,152,44,32,54,94,59,96,58
49,82,85,58,54,59,152,44,32,54,94,59,96,58
43,88,80,69,67,64,148,69,36,65,118,68,97,69
30,66,81,82,69,76,150,66,21,59,127,67,92,66
28,62,85,86,65,83,156,57,18,55,120,63,95,54
31,50,91,74,65,68,155,65,26,44,121,61,87,53
30,50,93,60,64,61,154,69,21,43,120,66,72,58
30,50,93,60,64,61,154,69,21,43,120,66,72,58
29,61,86,56,66,67,146,60,6,48,101,65,57,60
31,51,78,56,63,66,131,59,-3,48,95,55,27,60
32,50,85,60,59,63,130,71,2,51,105,60,13,61
34,45,94,64,57,65,146,70,3,52,103,76,23,60
40,45,98,63,57,64,145,67,-6,53,105,85,19,58
44,48,112,67,62,64,130,75,1,59,112,75,4,62
44,48,112,67,62,64,130,75,1,59,112,75,4,62
37,30,123,67,66,64,137,71,9,55,108,65,2,63
26,15,119,48,63,49,146,57,0,35,98,77,4,54
28,11,120,29,59,28,136,62,-1,23,99,91,6,56
32,17,127,24,59,21,126,70,5,33,96,73,7,59
25,16,114,22,53,19,124,53,-6,31,81,48,-6,43
24,10,103,30,49,27,120,47,-9,28,83,56,-11,43
32,21,105,44,55,39,116,68,8,40,91,66,0,61
32,21,105,44,55,39,116,68,8,40,91,66,0,61
35,14,109,46,63,39,120,66,11,42,81,57,-2,62
26,6,113,47,66,45,123,39,5,35,60,48,-6,52
22,14,121,54,67,54,116,34,10,39,51,49,0,52
33,15,120,61,65,42,100,52,11,40,56,55,1,50
45,28,110,54,57,29,85,63,2,38,66,61,2,49
45,28,110,54,57,29,85,63,2,38,66,61,2,49
45,32,118,41,57,34,86,61,3,45,81,64,15,62
37,17,124,32,60,29,94,44,0,37,82,48,10,60
22,9,104,27,49,19,86,21,-10,19,65,18,-21,36
16,2,88,32,48,28,73,22,-1,19,58,11,-37,32
21,8,84,28,53,24,74,31,0,32,60,26,-31,44
24,5,89,10,41,9,90,29,-16,27,53,35,-28,35
24,5,89,10,41,9,90,29,-16,27,53,35,-28,35
23,5,105,9,43,15,92,28,-15,23,47,32,-25,35
26,25,112,30,55,35,74,28,-2,44,53,24,-9,52
33,15,106,41,43,37,61,27,1,53,62,28,-3,49
22,-7,104,28,24,23,56,27,-5,31,59,28,-17,31
5,-19,99,18,30,16,57,24,-6,10,48,7,-20,28
9,-13,92,35,47,26,62,31,5,21,51,6,-8,36
9,-13,92,35,47,26,62,31,5,21,51,6,-8,36
29,16,99,54,62,48,63,52,24,39,76,43,-2,48
37,22,107,52,70,51,62,69,35,38,97,68,-5,56
23,9,107,41,63,41,48,67,29,35,90,65,0,46
20,8,114,46,63,48,38,63,16,45,87,72,15,42
42,25,121,69,64,62,49,74,12,60,110,84,27,54
42,25,121,69,64,62,49,74,12,60,110,84,27,54
50,46,122,79,54,63,65,79,13,64,118,84,32,56
43,46,127,80,56,64,64,69,13,58,103,80,27,54
43,52,120,80,57,67,59,63,13,64,95,68,10,58
38,48,107,67,42,58,52,58,14,61,92,52,-1,58
34,31,108,53,36,53,41,50,13,51,85,58,10,56
50,49,116,57,48,57,32,55,13,69,88,67,20,70
50,49,116,57,48,57,32,55,13,69,88,67,20,70
66,64,120,67,63,60,29,64,23,92,91,63,16,89
64,60,120,75,76,68,28,57,30,97,87,70,23,91
50,50,120,89,83,82,33,53,32,95,100,85,37,87
35,37,122,95,77,89,38,65,34,87,118,86,35,88
29,44,119,83,68,80,30,77,24,74,122,82,32,84
29,44,119,83,68,80,30,77,24,74,122,82,32,84
31,36,116,71,65,70,25,73,10,61,117,78,31,73
15,13,115,60,54,61,31,61,-2,48,102,71,26,54
1,17,117,51,33,55,23,64,-12,44,87,77,27,46
20,36,120,61,35,68,3,86,-6,58,91,96,32,58
45,60,124,81,52,83,0,90,8,74,97,91,36,66
45,60,124,81,52,83,0,90,8,74,97,91,36,66
48,59,121,81,51,75,4,72,4,68,92,71,35,62
40,48,112,59,35,57,-4,57,-7,48,88,60,31,56
37,44,104,50,35,52,-6,48,-2,43,84,55,26,51
32,35,94,58,47,56,-3,54,3,50,86,56,23,49
26,43,86,57,51,55,-6,61,-5,61,91,59,24,50
32,47,89,54,54,56,-6,50,-1,68,89,55,23,57
32,47,89,54,54,56,-6,50,-1,68,89,55,23,57
37,41,91,64,62,65,-1,36,5,73,83,45,17,60
31,40,93,57,52,60,2,33,0,71,69,31,16,55
25,23,97,35,36,37,5,30,-1,55,55,24,25,52
22,22,92,24,47,35,-1,27,0,50,53,39,31,57
22,22,92,24,47,35,-1,27,0,50,53,39,31,57
24,33,87,31,61,54,-17,31,-1,59,56,50,27,65
26,31,90,35,49,51,-16,33,-1,55,55,44,27,63
30,34,93,32,40,39,-2,32,-1,48,55,43,35,59
32,34,98,30,44,46,3,33,1,49,62,42,36,62
30,41,109,41,52,61,0,43,10,59,65,42,43,59
38,52,119,62,65,70,4,59,24,70,65,62,64,65
38,52,119,62,65,70,4,59,24,70,65,62,64,65
53,48,117,63,69,71,4,59,31,71,68,64,60,76
48,47,104,50,60,64,-1,50,29,61,73,38,36,67
34,45,100,57,65,64,4,57,31,56,87,43,38,58
30,46,98,64,65,68,-6,59,28,52,91,55,44,57
24,30,83,46,48,62,-33,31,11,39,69,33,30,42
26,19,77,39,48,55,-39,17,13,42,54,18,20,38
26,19,77,39,48,55,-39,17,13,42,54,18,20,38
35,50,86,55,65,61,-24,42,27,58,66,29,29,58
36,57,98,66,63,66,-20,62,25,62,86,45,48,67
27,50,107,58,41,63,-27,64,15,62,95,61,61,53
20,52,103,40,16,59,-42,62,9,51,85,59,49,39
29,42,86,34,7,51,-59,43,13,35,72,37,27,44
52,58,85,55,20,55,-65,23,26,50,76,27,34,58
52,58,85,55,20,55,-65,23,26,50,76,27,34,58
70,80,96,89,39,84,-59,43,38,82,94,35,51,68
70,76,93,90,38,96,-44,68,39,78,97,47,50,71
50,57,87,64,23,70,-38,52,27,54,81,49,50,57
34,43,90,56,20,58,-50,40,13,44,79,37,50,37
41,58,87,58,16,59,-58,48,6,46,85,28,36,36
41,58,87,58,16,59,-58,48,6,46,85,28,36,36
51,60,79,44,5,40,-54,40,9,42,78,29,36,44
39,37,78,27,-2,23,-59,31,2,36,63,30,53,37
24,22,86,19,-15,23,-73,39,-11,31,56,35,62,20
28,29,99,27,-26,28,-67,46,-10,26,67,56,73,15
35,63,97,48,-13,39,-55,43,0,41,80,63,86,27
36,67,78,52,3,55,-68,36,1,55,75,41,71,33
36,67,78,52,3,55,-68,36,1,55,75,41,71,33
32,47,70,37,-4,62,-81,27,3,47,60,25,55,27
31,47,69,33,-4,51,-72,30,5,44,62,27,60,26
37,46,67,38,9,36,-54,38,8,48,71,30,56,34
33,51,71,32,10,32,-47,29,12,44,63,26,51,33
30,53,76,28,4,37,-52,24,12,40,61,18,55,33
38,49,70,36,5,36,-62,33,16,43,67,18,60,37
